Fecha y hora;Departamento;Jurisdicción ;Vehículo;Edad;Sexo;Fallecido a los (Días);Tipo de Siniestro;Otro vehículo;Lugar del Siniestro
21/03/2012 17:50;CERRO LARGO;NACIONAL;MOTO;46;M;0;DESPISTE;-;RUTA 8 KM 446
23/03/2012 13:02;MONTEVIDEO;DEPARTAMENTAL;MOTO;19;M;0;COLISION ENTRE VEHICULOS;AUTO;VICENTE YAÑEZ PINZON Nro. 4601 esq. ANTONIO ZUBILLAGA
23/03/2012 14:45;PAYSANDU;DEPARTAMENTAL;MOTO;60;M;1;COLISION ENTRE VEHICULOS;MOTO;AVENIDA REPUBLICA ARGENTINA esq. JOAQUIN SUAREZ
24/03/2012 06:05;COLONIA;NACIONAL;AUTO;36;M;0;COLISION ENTRE VEHICULOS;CAMION;RUTA 54 KM 5
24/03/2012 08:50;SAN JOSE;NACIONAL;BICICLETA;59;M;0;COLISION ENTRE VEHICULOS;CAMIONETA;TOMAS PENINOesq. RUTA UNO
24/03/2012 09:40;MONTEVIDEO;DEPARTAMENTAL;AUTO;65;M;1;COLISION ENTRE VEHICULOS;CAMION;ROBINSON esq. JAIME ROLDOS Y PONS
24/03/2012 17:25;MONTEVIDEO;NACIONAL;MOTO;44;M;0;COLISION ENTRE VEHICULOS;CAMIONETA;RAMBLA EDISON esq. GENERAL PACHECO
25/03/2012 05:20;ARTIGAS;DEPARTAMENTAL;AUTO;Sin Dato;M;0;DESPISTE;-;CAMINO 19 DFE ABRIL Y PTE TAMANDUA
25/03/2012 09:15;FLORIDA;NACIONAL;CAMIONETA;28;M;0;COLISION ENTRE VEHICULOS;CAMION;RUTA 5 KM. 100,1 
25/03/2012 20:00;FLORES;NACIONAL;AUTO;Sin Dato;M;0;COLISION ENTRE VEHICULOS;AUTO;RUTA 3 KM 179
28/03/2012 02:20;MONTEVIDEO;DEPARTAMENTAL;MOTO;43;M;0;CAIDA;-;LAURELES Nro. 950 esq. HEREDIA
28/03/2012 11:35;MONTEVIDEO;NACIONAL;AUTO;51;M;1;DESPISTE;-;RUTA DE ACCESO esq. AVENIDA DOCTOR SANTIN CARLOS ROSSI
29/03/2012 19:40;TACUAREMBÓ;NACIONAL;BICICLETA;62;M;0;COLISION ENTRE VEHICULOS;CAMIONETA;RUTA 5 KM. 387
29/03/2012 20:15;MALDONADO;DEPARTAMENTAL;PEATON;82;F;2;ATROPELLO DE PEATON;MOTO;ATANASIO LAPIDO Y CABRERA
30/03/2012 18:56;CANELONES;DEPARTAMENTAL;PEATON;1;M;1;ATROPELLO DE PEATON;MOTO;CNO. CARRASCO Y SERSALES
30/03/2012 22:30;MALDONADO;DEPARTAMENTAL;CAMIONETA;56;M;0;COLISION ENTRE VEHICULOS;AUTO;VEINTICINCO DE MAYO esq. DIECIOCHO DE JULIO
31/03/2012 07:30;RIO NEGRO;DEPARTAMENTAL;MOTO;23;M;0;COLISION ENTRE VEHICULOS;CAMION;AVENIDA DIECIOCHO DE JULIO esq. SALTO
31/03/2012 16:05;DURAZNO;NACIONAL;MOTO;42;M;13;COLISION ENTRE VEHICULOS;AUTO;RUTA 6 KM. 203
31/03/2012 18:10;SALTO;DEPARTAMENTAL;MOTO;18;F;1;COLISION ENTRE VEHICULOS;MOTO;AV. PATULE Y 18 DE JULIO
31/03/2012 18:20;MONTEVIDEO;DEPARTAMENTAL;MOTO;30;M;0;COLISION ENTRE VEHICULOS;CAMIONETA;DOCTOR CARLOS MARIA DE PENA Nro. 5652 esq. FARAMIÑAN
01/04/2012 00:30;MONTEVIDEO;DEPARTAMENTAL;MOTO;43;M;5;COLISION ENTRE VEHICULOS;OMNIBUS;AVENIDA GENERAL SAN MARTIN esq. FOMENTO
01/04/2012 02:00;CANELONES;DEPARTAMENTAL;MOTO;38;M;0;CAIDA;-;TREINTA Y TRES esq. BALNEARIO R. BARRIOS
01/04/2012 03:00;MALDONADO;DEPARTAMENTAL;MOTO;26;M;0;DESPISTE;-;RUTA 39 PROX A CYLSA
01/04/2012 15:40;MONTEVIDEO;DEPARTAMENTAL;PEATON;72;F;1;ATROPELLO DE PEATON;OMNIBUS;CAMINO MALDONADO Nro. 5599 esq. PETEROA
02/04/2012 05:15;SALTO;DEPARTAMENTAL;MOTO;21;M;0;CAIDA;-;AVENIDA BATLLE esq. OFICIAL DOS (CHINCHURRETA)
