Fecha y hora;"Departamento";"Localidad";"Jurisdiccion ";"Tipo de Siniestro";"Vehiculo";"Rol";Edad;"Sexo";Fallecido a los Dias;"Otro vehiculo";"Lugar del Siniestro";"X";"Y"
14/01/2018 06:50:00;"CANELONES";"N/C";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";53;"M";0;"CAMIONETA";"RUTA 7 KM 43;000";"597203.36";"6169114.4"
14/01/2018 18:30:00;"MONTEVIDEO";"MONTEVIDEO";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";81;"M";0;"CAMIONETA";"JUAN ROSAS ESQ. CAYAMBE";"576533.5912";"6143585.5155"
16/01/2018 13:31:00;"TREINTA Y TRES";"TREINTA Y TRES";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";19;"M";17;"CAMION";"PANTALEON ARTIGAS ESQ. AVELINO MIRANDA";"743788.9247";"6320288.2181"
16/01/2018 18:30:00;"SAN JOSE";"CIUDAD DEL PLATA";"DEPARTAMENTAL";"CAÍDA";"MOTO";"CONDUCTOR";61;"M";1;;"DOCE DE OCTUBRE ESQ. COLON";"558090.2127";"6151738.6656"
16/01/2018 21:38:00;"DURAZNO";"DURAZNO";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"AUTO";"CONDUCTOR";88;"M";13;"CAMION";"P. TUBORAS ESQ. GENERAL JUAN ANTONIO LAVALLEJA";"544148.6051";"6307103.2424"
17/01/2018 21:50:00;"MALDONADO";"PIRIAPOLIS";"DEPARTAMENTAL";"ATROPELLO DE PEATÓN";"PEATÓN";"PEATÓN";21;"M";2;"AUTO";"GENERAL JOSE G. ARTIGAS ESQ. GENERAL FRUCTUOSO RIVERA";"657576.7491";"6141989.867"
20/01/2018 04:50:00;"MALDONADO";"PAN DE AZUCAR";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";56;"M";0;"OMNIBUS";"FELIX DE LIZARZA ESQ. SARANDI";"662610.06763219";"6150634.84755182"
20/01/2018 07:55:00;"PAYSANDU";"PAYSANDU";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";47;"M";1;"OMNIBUS";"GENERAL LEANDRO GOMEZ ESQ. DOCTOR LUIS ALBERTO DE HERRERA";"398046.737";"6423773.8945"
20/01/2018 09:48:00;"TACUAREMBO";"PASO DE LOS TOROS";"DEPARTAMENTAL";"CAÍDA";"MOTO";"CONDUCTOR";83;"M";3;;"DOCTOR LUIS ALBERTO DE HERRERA ESQ. BOULEVARD JOSE GERVASIO ARTIGAS";"546641.9339";"6368848.3354"
21/01/2018 08:00:00;"SAN JOSE";"CIUDAD DEL PLATA";"DEPARTAMENTAL";"DESPISTE";"MOTO";"CONDUCTOR";28;"M";1;;"GOLETA ESQ. MALACA";"558065.8138";"6153492.2156"
21/01/2018 10:20:00;"FLORIDA";"N/C";"NACIONAL";"DESPISTE";"AUTO";"CONDUCTOR";33;"M";0;;"RUTA 42 KM 18;000";"578639.12";"6273594.09"
21/01/2018 10:20:00;"FLORIDA";"N/C";"NACIONAL";"DESPISTE";"AUTO";"PASAJERO";75;"F";0;;"RUTA 42 KM 18;000";"578639.12";"6273594.09"
21/01/2018 11:24:00;"CANELONES";"BALNEARIO ARGENTINO";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"AUTO";"PASAJERO";62;"F";4;"CAMIONETA";"RUTA INTERBALNEARIA KM 76;000";"642084.39";"6150439.56"
21/01/2018 18:00:00;"CANELONES";"PANDO";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";22;"M";0;"MOTO";"LORENZO CARNELLI ESQ. FRANCISCO MENESES";"595221.8696";"6158282.113"
22/01/2018 18:20:00;"SALTO";"SALTO";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";17;"M";0;"CAMION";"AVENIDA MANUEL ORIBE ESQ. AVENIDA ARENAL GRANDE";"412000.7036";"6527103.4246"
24/01/2018 03:05:00;"TACUAREMBO";"N/C";"DEPARTAMENTAL";"ATROPELLO DE ANIMALES";"MOTO";"CONDUCTOR";19;"M";0;;"AV. GUTIERREZ RUIZ ESQ. CAMINO VECINAL LOS ESPINILLOS";"597235.79624034";"6495936.3915449"
25/01/2018 05:45:00;"SALTO";"SALTO";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";53;"M";0;"OMNIBUS";"AVENIDA MANUEL ORIBE ESQ. AVENIDA DEFENSA";"413668.9173";"6527062.8307"
25/01/2018 15:00:00;"CANELONES";"PROGRESO";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"PASAJERO";18;"M";1;"CAMIONETA";"DIEGO FERNANDEZ ESQ. AMERICO VESPUCIO";"571413.0654";"6160335.9756"
25/01/2018 18:10:00;"CANELONES";"ESTACION ATLANTIDA";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";80;"M";9;"CAMION";"RUTA 11 KM 163;000";"613008.07";"6155186.01"
26/01/2018 19:00:00;"MALDONADO";"N/C";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"AUTO";"CONDUCTOR";21;"M";0;"AUTO";"RUTA 37 KM 7;500";"660121.16716294";"6145324.39982859"
26/01/2018 19:00:00;"MALDONADO";"N/C";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"AUTO";"PASAJERO";45;"M";0;"AUTO";"RUTA 37 KM 7;500";"660121.16716294";"6145324.39982859"
27/01/2018 18:53:00;"MALDONADO";"N/C";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"CAMIONETA";"CONDUCTOR";25;"F";0;"CAMIONETA";"RUTA 9 KM 135;000";"688338.14";"6152525"
27/01/2018 18:53:00;"MALDONADO";"N/C";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"CAMIONETA";"PASAJERO";32;"F";0;"CAMIONETA";"RUTA 9 KM 135;000";"688338.14";"6152525"
27/01/2018 18:53:00;"MALDONADO";"N/C";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"CAMIONETA";"PASAJERO";18;"F";0;"CAMIONETA";"RUTA 9 KM 135;000";"688338.14";"6152525"
27/01/2018 18:53:00;"MALDONADO";"N/C";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"CAMIONETA";"PASAJERO";19;"F";0;"CAMIONETA";"RUTA 9 KM 135;000";"688338.14";"6152525"
