FECHA Y HORA;DEPARTAMENTO;JURISDICCION;TIPO DE SINIESTRO;VEHICULO;ROL;EDAD;SEXO;FALLECIDO A LOS (DIAS);OTRO VEHICULO;DIRECCION;X;Y
30/03/2017 05:50;TACUAREMBO;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;35;M;1;MOTO;RUTA 5 KM 393,000;600317,88;6492701,5
30/03/2017 06:00;SAN JOSE;NACIONAL;DESPISTE;AUTO;CONDUCTOR;30;M;1;;RUTA 1 KM 43,200;541517,5;6161989,22
31/03/2017 04:15;TACUAREMBO;DEPARTAMENTAL;CAÍDA;MOTO;CONDUCTOR;20;M;0;;INTENDENTE OLIVER ESQ. ESCRIBANO JULIO MAIA;593627,2183;6492048,108
31/03/2017 09:00;SALTO;DEPARTAMENTAL;ATROPELLO DE ANIMALES;MOTO;CONDUCTOR;77;M;21;;AVENIDA GOBERNADOR DE VIANA ESQ. GENERAL JOSE G. ARTIGAS;410049,9413;6526715,422
02/04/2017 13:24;SAN JOSE;NACIONAL;DESPISTE;AUTO;CONDUCTOR;74;F;0;;RUTA 3 KM 140,500;522735,33;6245565,99
03/04/2017 07:30;CERRO LARGO;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;18;M;1;AUTO;DIECIOCHO DE JULIO ESQ. GENERAL MANUEL ORIBE;766384,6578;6414329,105
03/04/2017 14:28;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATÓN;PEATÓN;PEATÓN;12;M;0;CAMIONETA;ANTONIO ZUBILLAGA ESQ. AMEGHINO;569882,1239;6142463,817
03/04/2017 16:20;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATÓN;PEATÓN;PEATÓN;13;M;0;OMNIBUS;AVENIDA GONZALO RAMIREZ ESQ. DOCTOR EMILIO FRUGONI;575380,354;6136410,383
04/04/2017 19:00;PAYSANDU;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;BICICLETA;CONDUCTOR;76;M;0;CAMIONETA;RUTA 3 KM 383,500;405391,6;6436157,75
05/04/2017 08:25;RIVERA;DEPARTAMENTAL;ATROPELLO DE PEATÓN;PEATÓN;PEATÓN;78;F;0;MOTO;AVENIDA ITALIA ESQ. DAMASO ANTONIO LARRAÑAGA;636994,3511;6579131,185
05/04/2017 12:15;MALDONADO;NACIONAL;DESPISTE;AUTO;CONDUCTOR;33;M;0;;RUTA 39 KM 6,500;687221,4268;6137988,292
05/04/2017 19:50;ROCHA;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;AUTO;PASAJERO;50;M;0;AUTO;RUTA 9 KM 269,000;794427,23;6211386,09
05/04/2017 21:50;ARTIGAS;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;36;M;0;AUTO;RUTA 3 KM 617,000;443053,7754;6652647,128
