Fecha y hora;Departamento;Jurisdicci®n ;Tipo de siniestro;VehÐculo;Rol;Edad;Sexo;Fallecido a los (DÐas);Otro vehÐculo;Lugar del Siniestro
18/08/2013 13:30;CANELONES;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;49;F;1;AUTO;RUTA 5  Km 21.500 
19/08/2013 16:55;TACUAREMBO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;70;F;2;CAMIONETA;DOCTOR CATALINA esq. DOCTOR IVO FERREIRA
20/08/2013 19:30;CANELONES;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;18;F;1;CAMIONETA;RUTA 5 km. 32
20/08/2013 22:55;RIVERA;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;18;M;1;CAMIONETA;AVENIDA BRASIL senda SUROESTE, esq. JOAQUIN SUAREZ
21/08/2013 15:55;MALDONADO;NACIONAL;DESPISTE;AUTO;CONDUCTOR;72;M;4;;RUTA 93 km. 110,500 
21/08/2013 16:50;TREINTA Y TRES;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;27;M;0;CAMION;RUTA 8 km 272,500
22/08/2013 19:00;SAN JOSE;NACIONAL;ATROPELLO DE PEATON;PEATON;PEATON;24;M;0;CAMIONETA;RUTA 1 km 55,500
24/08/2013 13:00;MONTEVIDEO;NACIONAL;DESPISTE;AUTO;PASAJERO;71;F;0;;RUTA 5 esq. CAMINO LUIS EDUARDO PEREZ
25/08/2013 08:00;ROCHA;DEPARTAMENTAL;COLISION CON OBSTACULO;AUTO;PASAJERO;25;M;5;;SAMUEL PRILIAC esq. RIO CEBOLLATI
26/08/2013 00:05;FLORIDA;NACIONAL;COLISION ENTRE VEHICULOS;AUTO;PASAJERO;26;M;1;OMNIBUS;RUTA 5 km. 98,8 
26/08/2013 00:05;FLORIDA;NACIONAL;COLISION ENTRE VEHICULOS;AUTO;CONDUCTOR;22;M;16;OMNIBUS;RUTA 5 km. 98,8 
28/08/2013 19:40;CANELONES;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;57;M;1;MOTO;REPUBLICA esq. ASENCIO
31/08/2013 16:03;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;86;M;1;CAMIONETA;RAMBLA REPUBLICA DE CHILE esq. ENRIQUE ARRASCAETA
01/09/2013 17:50;TREINTA Y TRES;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;BICICLETA;CONDUCTOR;66;M;0;MOTO;RINCON esq. SIMON DEL PINO
